dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,sys,sys_config,variable,1,varchar,128,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,citys,city_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,currencys,currency_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,expensebudgets,expensebudget_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,expensetypes,expensetype_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,incomebudgets,incomebudget_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,inventorygroups,inventorygroup_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,inventoryplaces,inventoryplace_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,membergroups,membergroup_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,positions,position_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,qualifications,qualification_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,statuses,status_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,addresses,address_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,memberitemamounts,memberitemamount_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,memberqualifications,memberqualification_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,members,member_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,incometypes,incometype_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,inventoryitems,inventoryitem_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,expenses,expense_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,incomes,income_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,addresses,city_id,4,int,NULL,"FOREIGN KEY",orgasoft,citys,city_id
mysql,orgasoft,memberitemamounts,member_id,2,int,NULL,"FOREIGN KEY",orgasoft,members,member_id
