dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,sys,sys_config,variable,1,varchar,128,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,status,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,status,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,address,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,address,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,city,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,city,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,currency,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,currency,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,expensetype,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,expensetype,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,expensebudget,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,expensebudget,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,income,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,income,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,incomebudget,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,incomebudget,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,inventorygroup,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,inventorygroup,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,inventoryplace,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,inventoryplace,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,member,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,member,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,membergroup,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,membergroup,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,memberqualification,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,memberqualification,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,position,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,position,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,qualification,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,qualification,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,expense,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,expense,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,memberitemamount,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,memberitemamount,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,incometype,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,incometype,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,inventoryitem,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,orgasoft,inventoryitem,id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,orgasoft,address,cityId,2,int,NULL,"FOREIGN KEY",orgasoft,city,id
mysql,orgasoft,income,currencyId,3,int,NULL,"FOREIGN KEY",orgasoft,currency,id
mysql,orgasoft,income,incometypeId,4,int,NULL,"FOREIGN KEY",orgasoft,incometype,id
mysql,orgasoft,income,memberId,2,int,NULL,"FOREIGN KEY",orgasoft,member,id
mysql,orgasoft,member,addressId,2,int,NULL,"FOREIGN KEY",orgasoft,address,id
mysql,orgasoft,member,membergroupId,5,int,NULL,"FOREIGN KEY",orgasoft,membergroup,id
mysql,orgasoft,member,positionId,3,int,NULL,"FOREIGN KEY",orgasoft,position,id
mysql,orgasoft,member,statusId,4,int,NULL,"FOREIGN KEY",orgasoft,status,id
mysql,orgasoft,memberqualification,memberId,2,int,NULL,"FOREIGN KEY",orgasoft,member,id
mysql,orgasoft,memberqualification,qualificationId,3,int,NULL,"FOREIGN KEY",orgasoft,qualification,id
mysql,orgasoft,expense,currencyId,4,int,NULL,"FOREIGN KEY",orgasoft,currency,id
mysql,orgasoft,expense,expensetypeId,3,int,NULL,"FOREIGN KEY",orgasoft,expensetype,id
mysql,orgasoft,expense,memberId,2,int,NULL,"FOREIGN KEY",orgasoft,member,id
mysql,orgasoft,memberitemamount,inventoryitemId,3,int,NULL,"FOREIGN KEY",orgasoft,inventoryitem,id
mysql,orgasoft,memberitemamount,memberId,2,int,NULL,"FOREIGN KEY",orgasoft,member,id
mysql,orgasoft,inventoryitem,expenseId,3,int,NULL,"FOREIGN KEY",orgasoft,expense,id
mysql,orgasoft,inventoryitem,inventorygroupId,2,int,NULL,"FOREIGN KEY",orgasoft,inventorygroup,id
mysql,orgasoft,inventoryitem,inventoryplaceId,4,int,NULL,"FOREIGN KEY",orgasoft,inventoryplace,id
mysql,orgasoft,address,createdAt,6,date,NULL,NULL,NULL,NULL,NULL
